"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C7,C8,C11,C12","0.01uF","~","-- różne wartości --","6",""
"C3,C4,C5,C6","2200pF","~","footprints:LLL18_MUR-M","4",""
"C9","5p","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C10,C13,C14","10uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C15,C16","2.2u","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"C17,C18","4.7u","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"C19,C20,C21","C","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","3",""
"D1","RB552EATR","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb552eatr-e.pdf","footprints:RB552EATR","1",""
"IC1","RP117Q252D-TR-FE","https://www.nisshinbo-microdevices.co.jp/en/pdf/datasheet/rp117-ea.pdf","footprints:SOT65P210X110-5N","1",""
"IC2","ADM7160AUJZ-2.5-R2","https://componentsearchengine.com/Datasheets/2/ADM7160AUJZ-2.5-R2.pdf","footprints:SOT95P280X100-5N","1",""
"J1,J6","Conn_01x02_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J2","ZAS","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J3","OUT+","~","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","1",""
"J4","OUT-","~","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","1",""
"J5,J7","IN","~","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","2",""
"R3,R4","210","~","Resistor_SMD:R_0402_1005Metric","2",""
"RF+1,RF-1,RT1,RT2","100k","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4",""
"RG+1,RG-1","470","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
"Ro1+1,Ro1-1","50","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
"U1","LMH5401IRMST","LMH5401IRMST","footprints:RMS0014A","1",""
"Z1","RCLAMP0582B.TCT","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-37/728243.pdf","footprints:SOT50P160X90-3N","1",""
